<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.05.23	20:00:00	1.06772	1.06975	1.06716	1.06881	10316	0	0
2022.05.24	00:00:00	1.06878	1.06928	1.06668	1.06699	4820	0	0
2022.05.24	04:00:00	1.06699	1.06753	1.06611	1.06646	5825	0	0
2022.05.24	08:00:00	1.06647	1.07362	1.06623	1.07050	22792	0	0
2022.05.24	12:00:00	1.07050	1.07275	1.06960	1.07075	17670	0	0
2022.05.24	16:00:00	1.07074	1.07489	1.07039	1.07306	31614	0	0
2022.05.24	20:00:00	1.07305	1.07389	1.07223	1.07333	13806	0	0
2022.05.25	00:00:00	1.07329	1.07382	1.07179	1.07229	5176	0	0
2022.05.25	04:00:00	1.07228	1.07234	1.07033	1.07053	8799	0	0
2022.05.25	08:00:00	1.07053	1.07096	1.06667	1.06698	20103	0	0
2022.05.25	12:00:00	1.06695	1.06792	1.06418	1.06514	20269	0	0
2022.05.25	16:00:00	1.06513	1.06873	1.06477	1.06544	23568	0	0
2022.05.25	20:00:00	1.06546	1.06947	1.06519	1.06790	18883	0	0
2022.05.26	00:00:00	1.06775	1.07066	1.06696	1.07040	6982	0	0
2022.05.26	04:00:00	1.07042	1.07054	1.06801	1.06827	10769	0	0
2022.05.26	08:00:00	1.06828	1.06956	1.06627	1.06824	17336	0	0
2022.05.26	12:00:00	1.06824	1.07231	1.06795	1.06999	19231	0	0
2022.05.26	16:00:00	1.06999	1.07294	1.06923	1.07080	20493	0	0
2022.05.26	20:00:00	1.07080	1.07310	1.07021	1.07239	9461	0	0
2022.05.27	00:00:00	1.07239	1.07398	1.07139	1.07394	6315	0	0
2022.05.27	04:00:00	1.07397	1.07651	1.07339	1.07545	8660	0	0
2022.05.27	08:00:00	1.07545	1.07571	1.07256	1.07305	14219	0	0
2022.05.27	12:00:00	1.07304	1.07314	1.06974	1.07161	17629	0	0
2022.05.27	16:00:00	1.07161	1.07502	1.07014	1.07101	21981	0	0
2022.05.27	20:00:00	1.07101	1.07340	1.07064	1.07309	7966	0	0
2022.05.30	00:00:00	1.07326	1.07360	1.07243	1.07300	4170	0	0
2022.05.30	04:00:00	1.07297	1.07603	1.07266	1.07580	7729	0	0
2022.05.30	08:00:00	1.07580	1.07701	1.07406	1.07633	15028	0	0
2022.05.30	12:00:00	1.07633	1.07803	1.07485	1.07528	12990	0	0
2022.05.30	16:00:00	1.07528	1.07865	1.07505	1.07862	11869	0	0
2022.05.30	20:00:00	1.07863	1.07869	1.07770	1.07780	3237	0	0
2022.05.31	00:00:00	1.07756	1.07788	1.07435	1.07452	6167	0	0
2022.05.31	04:00:00	1.07451	1.07580	1.07342	1.07450	10701	0	0
2022.05.31	08:00:00	1.07451	1.07555	1.07254	1.07282	17663	0	0
2022.05.31	12:00:00	1.07286	1.07386	1.06800	1.06824	25171	0	0
2022.05.31	16:00:00	1.06824	1.07382	1.06791	1.07310	32920	0	0
2022.05.31	20:00:00	1.07309	1.07466	1.07257	1.07326	12916	0	0
2022.06.01	00:00:00	1.07320	1.07376	1.07265	1.07278	6706	0	0
2022.06.01	04:00:00	1.07278	1.07285	1.07069	1.07142	10126	0	0
2022.06.01	08:00:00	1.07142	1.07390	1.07054	1.07180	17339	0	0
2022.06.01	12:00:00	1.07177	1.07286	1.07022	1.07261	14804	0	0
2022.06.01	16:00:00	1.07263	1.07308	1.06272	1.06392	30183	0	0
2022.06.01	20:00:00	1.06390	1.06605	1.06373	1.06484	12798	0	0
2022.06.02	00:00:00	1.06453	1.06598	1.06405	1.06563	4940	0	0
2022.06.02	04:00:00	1.06566	1.06584	1.06448	1.06572	7364	0	0
2022.06.02	08:00:00	1.06572	1.06954	1.06491	1.06842	12868	0	0
2022.06.02	12:00:00	1.06839	1.07158	1.06807	1.07033	15231	0	0
2022.06.02	16:00:00	1.07033	1.07447	1.06922	1.07441	24441	0	0
2022.06.02	20:00:00	1.07441	1.07499	1.07377	1.07463	9010	0	0
2022.06.03	00:00:00	1.07443	1.07627	1.07345	1.07588	4378	0	0
2022.06.03	04:00:00	1.07587	1.07638	1.07458	1.07458	6737	0	0
2022.06.03	08:00:00	1.07458	1.07625	1.07449	1.07537	11200	0	0
2022.06.03	12:00:00	1.07537	1.07559	1.07039	1.07160	18127	0	0
2022.06.03	16:00:00	1.07159	1.07522	1.07106	1.07291	25326	0	0
2022.06.03	20:00:00	1.07291	1.07297	1.07142	1.07165	7027	0	0
2022.06.06	00:00:00	1.07146	1.07319	1.07125	1.07160	1841	0	0
2022.06.06	04:00:00	1.07160	1.07281	1.07100	1.07276	3835	0	0
2022.06.06	08:00:00	1.07276	1.07516	1.07181	1.07510	13982	0	0
2022.06.06	12:00:00	1.07510	1.07513	1.07158	1.07231	11641	0	0
2022.06.06	16:00:00	1.07230	1.07240	1.06841	1.07008	20156	0	0
2022.06.06	20:00:00	1.07007	1.07034	1.06854	1.06955	8840	0	0
2022.06.07	00:00:00	1.06950	1.06964	1.06798	1.06843	7123	0	0
2022.06.07	04:00:00	1.06843	1.07001	1.06707	1.06826	10347	0	0
2022.06.07	08:00:00	1.06826	1.07047	1.06654	1.06796	21710	0	0
2022.06.07	12:00:00	1.06797	1.06920	1.06544	1.06560	16793	0	0
2022.06.07	16:00:00	1.06559	1.07098	1.06523	1.07013	23939	0	0
2022.06.07	20:00:00	1.07013	1.07143	1.06931	1.07049	8344	0	0
2022.06.08	00:00:00	1.07036	1.07073	1.06850	1.06932	4930	0	0
2022.06.08	04:00:00	1.06932	1.06958	1.06781	1.06784	9337	0	0
2022.06.08	08:00:00	1.06782	1.06951	1.06761	1.06792	16254	0	0
2022.06.08	12:00:00	1.06791	1.07409	1.06715	1.07316	19190	0	0
2022.06.08	16:00:00	1.07317	1.07485	1.07247	1.07287	22701	0	0
2022.06.08	20:00:00	1.07287	1.07287	1.07124	1.07157	9011	0	0
2022.06.09	00:00:00	1.07154	1.07206	1.07093	1.07120	6421	0	0
2022.06.09	04:00:00	1.07121	1.07335	1.07096	1.07262	7109	0	0
2022.06.09	08:00:00	1.07262	1.07297	1.06943	1.07152	16119	0	0
2022.06.09	12:00:00	1.07153	1.07739	1.06883	1.07343	29239	0	0
2022.06.09	16:00:00	1.07344	1.07429	1.06452	1.06525	36650	0	0
2022.06.09	20:00:00	1.06525	1.06551	1.06107	1.06159	12979	0	0
2022.06.10	00:00:00	1.06142	1.06240	1.06109	1.06238	7345	0	0
2022.06.10	04:00:00	1.06237	1.06353	1.06171	1.06305	6979	0	0
2022.06.10	08:00:00	1.06307	1.06424	1.06075	1.06149	19184	0	0
2022.06.10	12:00:00	1.06148	1.06180	1.05210	1.05226	26712	0	0
2022.06.10	16:00:00	1.05227	1.05444	1.05060	1.05169	35532	0	0
2022.06.10	20:00:00	1.05169	1.05335	1.05137	1.05207	13772	0	0
2022.06.13	00:00:00	1.05137	1.05195	1.04804	1.04848	8928	0	0
2022.06.13	04:00:00	1.04849	1.04940	1.04757	1.04908	9672	0	0
2022.06.13	08:00:00	1.04908	1.04954	1.04564	1.04753	24533	0	0
2022.06.13	12:00:00	1.04752	1.04819	1.04451	1.04655	25727	0	0
2022.06.13	16:00:00	1.04654	1.04684	1.04183	1.04374	32410	0	0
2022.06.13	20:00:00	1.04374	1.04581	1.03996	1.04076	24633	0	0
2022.06.14	00:00:00	1.04078	1.04245	1.04017	1.04227	8522	0	0
2022.06.14	04:00:00	1.04226	1.04361	1.03969	1.04250	15154	0	0
2022.06.14	08:00:00	1.04249	1.04848	1.04178	1.04654	26430	0	0
2022.06.14	12:00:00	1.04655	1.04683	1.04255	1.04491	29424	0	0
2022.06.14	16:00:00	1.04490	1.04598	1.04066	1.04203	38216	0	0
2022.06.14	20:00:00	1.04202	1.04431	1.03998	1.04151	19307	0	0
2022.06.15	00:00:00	1.04140	1.04408	1.03995	1.04346	10428	0	0
2022.06.15	04:00:00	1.04347	1.04514	1.04245	1.04270	15262	0	0
2022.06.15	08:00:00	1.04270	1.05076	1.04244	1.04943	34085	0	0
2022.06.15	12:00:00	1.04943	1.04976	1.04040	1.04148	31767	0	0
2022.06.15	16:00:00	1.04149	1.04319	1.03802	1.03819	29832	0	0
2022.06.15	20:00:00	1.03818	1.04695	1.03591	1.04430	51752	0	0
2022.06.16	00:00:00	1.04412	1.04691	1.04334	1.04527	11945	0	0
2022.06.16	04:00:00	1.04526	1.04589	1.04306	1.04385	17971	0	0
2022.06.16	08:00:00	1.04385	1.04441	1.03811	1.04092	33096	0	0
2022.06.16	12:00:00	1.04093	1.04367	1.03838	1.04283	42039	0	0
2022.06.16	16:00:00	1.04284	1.05730	1.04280	1.05599	47503	0	0
2022.06.16	20:00:00	1.05601	1.06009	1.05459	1.05483	24784	0	0
2022.06.17	00:00:00	1.05454	1.05602	1.05352	1.05409	10247	0	0
2022.06.17	04:00:00	1.05409	1.05427	1.05171	1.05277	24343	0	0
2022.06.17	08:00:00	1.05277	1.05308	1.04937	1.05202	32819	0	0
2022.06.17	12:00:00	1.05202	1.05359	1.04758	1.04948	28956	0	0
2022.06.17	16:00:00	1.04948	1.05000	1.04447	1.04676	40186	0	0
2022.06.17	20:00:00	1.04676	1.05028	1.04668	1.04962	13840	0	0
2022.06.20	00:00:00	1.04747	1.04969	1.04727	1.04934	8236	0	0
2022.06.20	04:00:00	1.04934	1.05303	1.04911	1.05228	13696	0	0
2022.06.20	08:00:00	1.05228	1.05430	1.05101	1.05244	23184	0	0
2022.06.20	12:00:00	1.05245	1.05457	1.05151	1.05173	18014	0	0
2022.06.20	16:00:00	1.05172	1.05419	1.05075	1.05234	15968	0	0
2022.06.20	20:00:00	1.05235	1.05235	1.04979	1.05104	3842	0	0
2022.06.21	00:00:00	1.05104	1.05332	1.05053	1.05328	7896	0	0
2022.06.21	04:00:00	1.05328	1.05423	1.05209	1.05226	10452	0	0
2022.06.21	08:00:00	1.05226	1.05790	1.05130	1.05781	20809	0	0
2022.06.21	12:00:00	1.05781	1.05824	1.05447	1.05519	22440	0	0
2022.06.21	16:00:00	1.05519	1.05666	1.05280	1.05344	26838	0	0
2022.06.21	20:00:00	1.05344	1.05405	1.05187	1.05318	10345	0	0
2022.06.22	00:00:00	1.05299	1.05387	1.05103	1.05127	8086	0	0
2022.06.22	04:00:00	1.05127	1.05156	1.04936	1.04967	13870	0	0
2022.06.22	08:00:00	1.04967	1.05140	1.04691	1.05079	27992	0	0
2022.06.22	12:00:00	1.05079	1.05352	1.05043	1.05307	24682	0	0
2022.06.22	16:00:00	1.05308	1.06054	1.05303	1.05748	32246	0	0
2022.06.22	20:00:00	1.05747	1.05848	1.05633	1.05678	10916	0	0
2022.06.23	00:00:00	1.05631	1.05752	1.05604	1.05742	8685	0	0
2022.06.23	04:00:00	1.05743	1.05812	1.05558	1.05686	18910	0	0
2022.06.23	08:00:00	1.05676	1.05792	1.04827	1.04939	32353	0	0
2022.06.23	12:00:00	1.04939	1.05219	1.04904	1.05046	26750	0	0
2022.06.23	16:00:00	1.05047	1.05538	1.04944	1.05083	44722	0	0
2022.06.23	20:00:00	1.05084	1.05338	1.05044	1.05215	16114	0	0
2022.06.24	00:00:00	1.05225	1.05280	1.05119	1.05170	7166	0	0
2022.06.24	04:00:00	1.05170	1.05432	1.05137	1.05398	10929	0	0
2022.06.24	08:00:00	1.05397	1.05465	1.05188	1.05445	19972	0	0
2022.06.24	12:00:00	1.05444	1.05547	1.05144	1.05230	22252	0	0
2022.06.24	16:00:00	1.05231	1.05711	1.05158	1.05461	33907	0	0
2022.06.24	20:00:00	1.05461	1.05591	1.05347	1.05534	9309	0	0
2022.06.27	00:00:00	1.05456	1.05745	1.05456	1.05560	9162	0	0
2022.06.27	04:00:00	1.05560	1.05662	1.05503	1.05647	15188	0	0
2022.06.27	08:00:00	1.05647	1.05911	1.05544	1.05841	23032	0	0
2022.06.27	12:00:00	1.05841	1.05889	1.05537	1.05679	20541	0	0
2022.06.27	16:00:00	1.05680	1.06149	1.05680	1.05976	28557	0	0
2022.06.27	20:00:00	1.05976	1.05992	1.05781	1.05829	12872	0	0
2022.06.28	00:00:00	1.05817	1.05857	1.05705	1.05763	6579	0	0
2022.06.28	04:00:00	1.05763	1.05865	1.05711	1.05756	15654	0	0
2022.06.28	08:00:00	1.05756	1.06058	1.05705	1.05919	29658	0	0
2022.06.28	12:00:00	1.05919	1.05969	1.05328	1.05382	24331	0	0
2022.06.28	16:00:00	1.05382	1.05423	1.05033	1.05233	32180	0	0
2022.06.28	20:00:00	1.05233	1.05345	1.05170	1.05180	13376	0	0
2022.06.29	00:00:00	1.05170	1.05311	1.05148	1.05209	7113	0	0
2022.06.29	04:00:00	1.05208	1.05353	1.05009	1.05042	17142	0	0
2022.06.29	08:00:00	1.05044	1.05206	1.04857	1.05107	28575	0	0
2022.06.29	12:00:00	1.05107	1.05352	1.05049	1.05212	28525	0	0
2022.06.29	16:00:00	1.05213	1.05267	1.04445	1.04459	35176	0	0
2022.06.29	20:00:00	1.04460	1.04542	1.04352	1.04411	11552	0	0
2022.06.30	00:00:00	1.04394	1.04473	1.04346	1.04423	8557	0	0
2022.06.30	04:00:00	1.04422	1.04575	1.04326	1.04534	12350	0	0
2022.06.30	08:00:00	1.04534	1.04688	1.04299	1.04411	29968	0	0
2022.06.30	12:00:00	1.04413	1.04425	1.03823	1.03979	29087	0	0
2022.06.30	16:00:00	1.03979	1.04854	1.03977	1.04824	37401	0	0
2022.06.30	20:00:00	1.04824	1.04891	1.04677	1.04827	17131	0	0
2022.07.01	00:00:00	1.04826	1.04854	1.04665	1.04712	9198	0	0
2022.07.01	04:00:00	1.04715	1.04738	1.04470	1.04538	17927	0	0
2022.07.01	08:00:00	1.04538	1.04707	1.04329	1.04587	29286	0	0
2022.07.01	12:00:00	1.04587	1.04742	1.04066	1.04069	28935	0	0
2022.07.01	16:00:00	1.04068	1.04201	1.03657	1.04015	40282	0	0
2022.07.01	20:00:00	1.04011	1.04329	1.03935	1.04261	12914	0	0
